Font: Noto Sans JP  Style: Thin
Point Size: 64   SP/PD Ratio: 7.8%

Characters included: 3761/7151
Missing characters: 22
Excluded characters: 3368

Characters missing from font file:
----------------------------------------
ID: 23627	Hex: 5C4B	Char [屋]
ID: 20057	Hex: 4E59	Char [乙]
ID: 28201	Hex: 6E29	Char [温]
ID: 38899	Hex: 97F3	Char [音]
ID: 19979	Hex: 4E0B	Char [下]
ID: 26214	Hex: 6666	Char [晦]
ID: 30028	Hex: 754C	Char [界]
ID: 30342	Hex: 7686	Char [皆]
ID: 38283	Hex: 958B	Char [開]
ID: 38542	Hex: 968E	Char [階]
ID: 35997	Hex: 8C9D	Char [貝]
ID: 21683	Hex: 54B3	Char [咳]
ID: 23475	Hex: 5BB3	Char [害]
ID: 23830	Hex: 5D16	Char [崖]
ID: 28079	Hex: 6DAF	Char [涯]
ID: 33995	Hex: 84CB	Char [蓋]
ID: 39608	Hex: 9AB8	Char [骸]
ID: 28012	Hex: 6D6C	Char [浬]
ID: 31909	Hex: 7CA5	Char [粥]
ID: 33477	Hex: 82C5	Char [苅]
ID: 21208	Hex: 52D8	Char [勘]
ID: 23448	Hex: 5B98	Char [官]
ID: 23515	Hex: 5BDB	Char [寛]
ID: 24178	Hex: 5E72	Char [干]
ID: 26874	Hex: 68FA	Char [棺]
ID: 24112	Hex: 5E30	Char [帰]
ID: 35215	Hex: 898F	Char [規]
ID: 36020	Hex: 8CB4	Char [貴]
ID: 23452	Hex: 5B9C	Char [宜]
ID: 20982	Hex: 51F6	Char [凶]
ID: 21281	Hex: 5321	Char [匡]
ID: 21375	Hex: 537F	Char [卿]
ID: 21483	Hex: 53EB	Char [叫]
ID: 23777	Hex: 5CE1	Char [峡]
ID: 24656	Hex: 6050	Char [恐]
ID: 29378	Hex: 72C2	Char [狂]
ID: 33029	Hex: 8105	Char [脅]
ID: 31391	Hex: 7A9F	Char [窟]
ID: 31402	Hex: 7AAA	Char [窪]
ID: 29066	Hex: 718A	Char [熊]
ID: 38536	Hex: 9688	Char [隈]
ID: 26647	Hex: 6817	Char [栗]
ID: 21531	Hex: 541B	Char [君]
ID: 34219	Hex: 85AB	Char [薫]
ID: 35347	Hex: 8A13	Char [訓]
ID: 36557	Hex: 8ECD	Char [軍]
ID: 31041	Hex: 7941	Char [祁]
ID: 21009	Hex: 5211	Char [刑]
ID: 22317	Hex: 572D	Char [圭]
ID: 29309	Hex: 727D	Char [牽]
ID: 30740	Hex: 7814	Char [研]
ID: 30831	Hex: 786F	Char [硯]
ID: 30476	Hex: 770C	Char [県]
ID: 32937	Hex: 80A9	Char [肩]
ID: 35211	Hex: 898B	Char [見]
ID: 36066	Hex: 8CE2	Char [賢]
ID: 38522	Hex: 967A	Char [険]
ID: 20803	Hex: 5143	Char [元]
ID: 24187	Hex: 5E7B	Char [幻]
ID: 29572	Hex: 7384	Char [玄]
ID: 23380	Hex: 5B54	Char [孔]
ID: 23389	Hex: 5B5D	Char [孝]
ID: 24039	Hex: 5DE7	Char [巧]
ID: 24344	Hex: 5F18	Char [弘]
ID: 26114	Hex: 6602	Char [昂]
ID: 26179	Hex: 6643	Char [晃]
ID: 26356	Hex: 66F4	Char [更]
ID: 27743	Hex: 6C5F	Char [江]
ID: 27492	Hex: 6B64	Char [此]
